@RELATION music

@ATTRIBUTE escala {C+,B,A,F+,E,D,E-,B-,F,G,C,A-,D-}
@ATTRIBUTE armadura {2/8,3/8,1/4,9/8,2/2,3/4,4/4,6/8,2/4}
@ATTRIBUTE g1 NUMERIC
@ATTRIBUTE g2 NUMERIC
@ATTRIBUTE g3 NUMERIC
@ATTRIBUTE g4 NUMERIC
@ATTRIBUTE g5 NUMERIC
@ATTRIBUTE g6 NUMERIC
@ATTRIBUTE g7 NUMERIC
@ATTRIBUTE g8 NUMERIC
@ATTRIBUTE g9 NUMERIC
@ATTRIBUTE g10 NUMERIC
@ATTRIBUTE g11 NUMERIC
@ATTRIBUTE g12 NUMERIC
@ATTRIBUTE acorde1 NUMERIC
@ATTRIBUTE acorde2 NUMERIC
@ATTRIBUTE acorde3 NUMERIC
@ATTRIBUTE acorde4 NUMERIC
@ATTRIBUTE acorde5 NUMERIC
@ATTRIBUTE RHSonidos NUMERIC
@ATTRIBUTE LHSonidos NUMERIC
@ATTRIBUTE AmbasSonidos NUMERIC
@ATTRIBUTE RHSilencios NUMERIC
@ATTRIBUTE LHSilencios NUMERIC
@ATTRIBUTE AmbasSilencios NUMERIC
@ATTRIBUTE MasRuidosa {R,L,B}
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE O3 NUMERIC
@ATTRIBUTE O4 NUMERIC
@ATTRIBUTE O5 NUMERIC
@ATTRIBUTE O6 NUMERIC
@ATTRIBUTE O7 NUMERIC
@ATTRIBUTE RHMasGrave NUMERIC
@ATTRIBUTE RHMasAguda NUMERIC
@ATTRIBUTE LHMasGrave NUMERIC
@ATTRIBUTE LHMasAguda NUMERIC
@ATTRIBUTE RHAmplitud NUMERIC
@ATTRIBUTE LHAmplitud NUMERIC
@ATTRIBUTE TotalAmplitud NUMERIC
@ATTRIBUTE Compositor {Bach,Mozart,Muzio,Beethoven,Debussy,Joplin}

@DATA
C,"4/4",20,0,13,0,13,9,2,18,0,13,0,14,40,23,0,0,0,0.9844,0.7813,0.9844,0.0156,0.2188,0.0156,R,0,1,23,46,32,0,0,60,81,43,64,21,21,38,Bach
C,"4/4",12,0,16,0,8,0,9,16,0,13,0,13,41,23,0,0,0,0.7813,0.9844,1.0,0.2188,0.0156,0.0,L,0,9,30,34,14,0,0,62,79,38,62,17,24,41,Bach
C,"4/4",13,3,16,0,15,15,1,13,2,12,2,11,41,23,0,0,0,0.7813,1.0,1.0,0.2188,0.0,0.0,L,0,0,7,74,22,0,0,66,77,55,70,11,15,22,Bach
C,"4/4",10,1,14,0,17,8,3,7,5,16,0,10,35,28,0,0,0,1.0,0.9219,1.0,0.0,0.0781,0.0,R,0,1,19,34,37,0,0,64,83,45,65,19,20,38,Bach
C,"4/4",15,0,15,0,17,17,0,14,0,11,4,8,43,21,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,25,27,47,2,0,72,84,50,65,12,15,34,Bach
C,"4/4",7,0,3,0,5,4,0,5,0,3,2,2,6,10,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0,B,0,2,10,15,4,0,0,62,72,36,55,10,19,36,Bach
C,"4/4",19,0,19,12,0,14,0,8,10,0,5,6,47,15,0,0,0,0.9063,0.4688,0.9688,0.0938,0.5313,0.0313,R,0,0,8,48,37,0,0,65,80,53,68,15,15,27,Bach
C,"4/4",14,0,16,18,0,14,0,13,11,0,15,0,27,37,0,0,0,1.0,0.9375,1.0,0.0,0.0625,0.0,R,0,0,10,47,43,1,0,67,84,53,68,17,15,31,Bach
C,"4/4",18,0,13,13,2,11,5,23,12,8,20,0,17,46,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,B,0,0,30,41,53,1,0,70,84,48,72,14,24,36,Bach
C,"4/4",18,0,9,9,0,6,3,15,0,19,17,0,34,31,0,0,0,0.9375,0.9375,1.0,0.0625,0.0625,0.0,B,0,0,35,50,11,0,0,60,79,48,63,19,15,31,Bach
